year,positive,negative,anticipation,fear,sadness,trust,anger,disgust,joy,surprise
1950,1.6591470442944178,1.3698336901037378,0.902519347933476,0.8758438992260826,0.5048575662769637,1.1974312530874363,0.7184258191997366,0.21439156924090236,0.42466655689115757,0.3039683846533838
1951,1.8001158748551565,1.5421011973735033,0.9409038238702202,1.0046349942062573,0.5758980301274623,1.313248358439552,0.8422170722286597,0.25878717651602934,0.48783314020857477,0.31672460409424485
1952,1.6201441378098085,1.3274740727720162,0.8196519599226577,0.852170856037968,0.5027245561610125,1.2381789418175426,0.7254350500966777,0.23237827386183862,0.4461240991386887,0.2951309544735454
1953,1.603724780134506,1.234178306604587,0.8144507673736852,0.7811691670977755,0.498534230039662,1.195723400586308,0.6804621486463184,0.19813760993274704,0.43507501293326434,0.2736678737713399
1954,1.5190068493150686,1.1657534246575343,0.7775684931506849,0.6919520547945206,0.47448630136986303,1.1554794520547946,0.6167808219178083,0.1827054794520548,0.39195205479452055,0.27106164383561643
1955,1.5205158264947245,1.015072852118573,0.7561547479484173,0.652989449003517,0.4031150561045051,1.118573103332775,0.5154915424552001,0.14503433260760343,0.4019427231619494,0.25355886786132975
1956,1.9511636779855017,1.487218618847768,0.9834032811903853,0.9093857306371614,0.5919496375429225,1.4280808851583364,0.7693628386112171,0.21442197634490653,0.4898893552079359,0.35101106447920644
1957,1.924435162331498,1.357509018416556,0.9441807480539206,0.87450161382191,0.5335105373077653,1.3895955952154926,0.7245111068919688,0.21112587810898045,0.46497057148281756,0.33073856085057907
1958,1.4526936026936026,1.0865319865319865,0.7496632996632997,0.6722222222222223,0.4503367003367003,1.052020202020202,0.571043771043771,0.16616161616161615,0.36515151515151517,0.26616161616161615
1959,1.4671209540034071,1.0396933560477002,0.7742759795570698,0.6061328790459966,0.4148211243611584,1.0737649063032368,0.5149914821124361,0.16201022146507665,0.38466780238500853,0.25911413969335606
1960,1.6329278183292781,1.1448499594484995,0.7612327656123277,0.6835360908353609,0.44639091646390916,1.1448499594484995,0.5892944038929441,0.16642335766423358,0.41719383617193834,0.28012976480129764
1961,1.6421052631578947,1.1868003341687552,0.8058479532163743,0.7473684210526316,0.43642439431913116,1.1345029239766082,0.6267335004177109,0.1847953216374269,0.39381787802840434,0.260484544695071
1962,1.8249950169423959,1.4602352003189156,0.9236595575044848,0.8786127167630058,0.557105840143512,1.3597767590193344,0.7719752840342834,0.20211281642415788,0.43791110225234203,0.3258919673111421
1963,2.153029632905794,1.7229102167182662,1.090888987173817,1.01437417072092,0.6839893852277753,1.5183547103051747,0.8989385227775321,0.25807164971251656,0.5305174701459531,0.36908447589562143
1964,1.1455555555555557,0.7892063492063492,0.5276190476190477,0.49666666666666665,0.3219047619047619,0.8576190476190476,0.4257142857142857,0.11634920634920635,0.2704761904761905,0.18396825396825398
1965,1.3151643345265214,1.0606898795964854,0.6755613407094045,0.6573381060852587,0.4222258379433778,0.9747803449397983,0.5761470875366091,0.16335828180930687,0.34705499511877647,0.24227139602993816
1966,1.6514012303485988,1.3898382319434952,0.8539530644793802,0.9045340624287993,0.595352016404648,1.23194349510139,0.7083618136249715,0.22055137844611528,0.42720437457279564,0.3041695146958305
1967,1.5028355387523629,1.3471959672337743,0.766435622768326,0.9252257929006511,0.5288804872925856,1.1176223482461667,0.7332493173703003,0.23356437723167403,0.36588951900861166,0.2659105229993699
1968,1.3638883755313251,1.1598595453705416,0.6638329329144336,0.7566069118462392,0.4302347070781741,0.9987063389391979,0.6531140269820735,0.18942894104601737,0.3413417113287747,0.24801330622805395
1969,1.2983674235316194,1.0138862826046162,0.6451491837117658,0.6687933946331395,0.4100206417714393,1.011071495590167,0.5494464252204917,0.17714392944267218,0.32088571964721335,0.21298555075999248
1970,0.5062528948587309,0.48170449282075034,0.26447429365446967,0.3455303381194998,0.1933765632237147,0.4316813339509032,0.27281148679944417,0.08962482630847615,0.13246873552570634,0.10699397869383974
1971,0.47239976757699015,0.4086771257021112,0.24559364710439666,0.26806120472593453,0.178965717606043,0.37981793530892893,0.21867131512686422,0.07844276583381755,0.12550842533410808,0.0894828588030215
1972,0.4815794445494049,0.4095975817116947,0.22652559984885698,0.2760249385981485,0.18326091063668998,0.38635934252786697,0.22406952578877762,0.07972794256565274,0.13565085962592102,0.09862081995087851
1973,0.4807185628742515,0.4297005988023952,0.24383233532934132,0.2761676646706587,0.18586826347305388,0.37221556886227547,0.22706586826347305,0.08119760479041917,0.13844311377245508,0.09988023952095808
1974,0.464293659621802,0.4253615127919911,0.2307007786429366,0.26407119021134595,0.18731924360400445,0.36484983314794217,0.21468298109010012,0.07830923248053392,0.13081201334816464,0.09210233592880979
1975,0.4971236816874401,0.47722914669223393,0.25479386385426656,0.29769894534995206,0.22555129434324064,0.3883029721955896,0.2552732502396932,0.09803451581975071,0.12799616490891658,0.10306807286673059
1976,0.521848317428428,0.45781014565544953,0.266449020592667,0.29030637870416875,0.20391762933199398,0.4093420391762933,0.25163234555499747,0.08463083877448518,0.15519839276745354,0.10622802611752888
1977,0.5661827497865073,0.4628522630230572,0.2886421861656704,0.2897808141189866,0.21036151437517792,0.4187304298320524,0.23171078849985768,0.07998861372046684,0.1520068317677199,0.10788499857671506
1978,0.4836700336700337,0.3813131313131313,0.25404040404040407,0.23114478114478115,0.17138047138047138,0.34276094276094277,0.19696969696969696,0.06767676767676768,0.15185185185185185,0.09983164983164983
1979,0.4933270896745493,0.40494029501287754,0.2460782018262702,0.2545071411847343,0.18426597986420043,0.3508546007960665,0.1994848981503161,0.07890423788339967,0.14422851791149613,0.09658159681573401
1980,1.6162804515745692,1.2549019607843137,0.7667260843731432,0.7693404634581105,0.5691027926322044,1.0878193701723113,0.6293523469994058,0.23101604278074866,0.4540701128936423,0.3281045751633987
1981,0.42743394860658707,0.34684521655205697,0.20617686089998793,0.20617686089998793,0.15924719507781396,0.30980817951501993,0.16745083846061046,0.06321631077331404,0.1306550850524792,0.09048136083966703
1982,0.4072664784583282,0.35657297164600465,0.2106296796366761,0.20756106542285505,0.169632993740027,0.3030563397569658,0.17650668957898613,0.06971891493801399,0.1253222044924512,0.08604394255554192
1983,0.40887198986058304,0.3684410646387833,0.2171102661596958,0.20519645120405577,0.1612167300380228,0.27934093789607095,0.1726235741444867,0.06932826362484157,0.12750316856780736,0.08365019011406843
1984,0.41490196078431374,0.3530718954248366,0.21176470588235294,0.19830065359477125,0.15895424836601307,0.28065359477124185,0.16065359477124183,0.06065359477124183,0.13176470588235295,0.08888888888888889
1985,0.41331909782463633,0.40130788736153744,0.2330174829841185,0.22354197250767383,0.17963432537034565,0.2894701721606833,0.1665554517549713,0.0709995996263179,0.1317229414119845,0.0900840784732417
1986,0.41125835315437764,0.3957413070562918,0.21565296183033186,0.22482727375693737,0.1689885604258693,0.290406614565636,0.17748329369124477,0.07146902253935893,0.12572205232755693,0.08993090950277495
1987,,,,,,,,,,
